unique_id,last_close,ets_h60,ets_move_%,lgb_h60,lgb_move_%
EICHERMOT.NS,7122.5,7486.9,5.12,7252.52,1.83
M&M.NS,3431.8,3546.09,3.33,3510.07,2.28
ONGC.NS,268.96,277.87,3.31,278.88,3.69
TECHM.NS,1743.1,1791.72,2.79,1775.67,1.87
LT.NS,3932.3,4006.71,1.89,3979.77,1.21
AXISBANK.NS,1370.4,1395.62,1.84,1397.7,1.99
LTIM.NS,5974.5,6073.99,1.67,6343.11,6.17
DIVISLAB.NS,6051.0,6139.11,1.46,6150.27,1.64
GRASIM.NS,2819.0,2853.67,1.23,2848.46,1.05
SUNPHARMA.NS,1595.3,1614.73,1.22,1624.52,1.83
TATACONSUM.NS,1133.9,1147.13,1.17,1150.68,1.48
NTPC.NS,356.0,360.12,1.16,365.9,2.78
RELIANCE.NS,1395.4,1411.08,1.12,1418.3,1.64
TCS.NS,3123.9,3158.54,1.11,3170.67,1.5
KOTAKBANK.NS,408.0,412.36,1.07,417.88,2.42
TATASTEEL.NS,193.13,195.08,1.01,202.62,4.91
ADANIPORTS.NS,1419.8,1433.72,0.98,1439.31,1.37
NESTLEIND.NS,1332.4,1344.12,0.88,1353.23,1.56
INFY.NS,1641.0,1655.11,0.86,1660.9,1.21
TITAN.NS,3977.4,4011.77,0.86,3986.55,0.23
HINDALCO.NS,962.6,970.18,0.79,988.01,2.64
JSWSTEEL.NS,1214.4,1223.95,0.79,1234.36,1.64
MARUTI.NS,14599.0,14713.59,0.78,15224.65,4.29
ULTRACEMCO.NS,12694.0,12790.39,0.76,12737.86,0.35
BHARTIARTL.NS,1968.7,1983.26,0.74,1989.69,1.07
HCLTECH.NS,1695.6,1707.63,0.71,1712.17,0.98
ICICIBANK.NS,1355.0,1364.24,0.68,1370.56,1.15
HEROMOTOCO.NS,5534.0,5571.75,0.68,5746.36,3.84
BAJFINANCE.NS,929.85,936.21,0.68,947.37,1.88
HINDUNILVR.NS,2373.0,2387.9,0.63,2385.17,0.51
SBIN.NS,1077.15,1083.92,0.63,1101.19,2.23
HDFCBANK.NS,929.25,934.82,0.6,941.17,1.28
BAJAJ-AUTO.NS,9597.5,9655.55,0.6,9674.72,0.8
APOLLOHOSP.NS,6960.5,7001.22,0.59,7192.48,3.33
INDUSINDBK.NS,896.1,901.39,0.59,928.42,3.61
ADANIENT.NS,2020.4,2032.16,0.58,2074.45,2.68
ITC.NS,322.15,323.98,0.57,336.29,4.39
SHREECEM.NS,26985.0,27119.45,0.5,26996.94,0.04
POWERGRID.NS,256.5,256.57,0.03,265.59,3.54
COALINDIA.NS,440.75,440.78,0.01,451.23,2.38
SBILIFE.NS,1998.5,1998.5,-0.0,2021.48,1.15
HDFCLIFE.NS,731.0,731.0,-0.0,750.03,2.6
BRITANNIA.NS,5860.5,5860.37,-0.0,5855.37,-0.09
BPCL.NS,364.5,364.5,-0.0,373.86,2.57
BAJAJFINSV.NS,1952.6,1952.6,-0.0,1981.33,1.47
ASIANPAINT.NS,2428.3,2428.31,0.0,2458.63,1.25
CIPLA.NS,1324.0,1323.56,-0.03,1349.07,1.89
DRREDDY.NS,1218.1,1217.51,-0.05,1236.08,1.48
WIPRO.NS,236.9,236.26,-0.27,246.64,4.11
